idindikator;IDTer;nTer;mes;god;IDISCEDF;nISCEDF;vrednost
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2018;08;Пољопривреда, шумарство, рибарство и ветерина;756
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2018;09;Здравство и социјална помоћ;2306
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2018;10;Услуге;3964
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2018;0;Укупно;20097
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2018;00;Генерички програми и квалификације;0
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2018;01;Образовање;2094
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2018;02;Уметности и хуманистичке науке;1842
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2018;03;Друштвене науке, новинарство и информисање;1446
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2018;04;Пословање, администрација и право;4208
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2018;05;Природне науке, математика и статистика;1190
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2018;06;Информационе и комуникационе технологије (ИКТ);2389
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2018;07;Инжењерство, производња и грађевинарство;3336
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2018;08;Пољопривреда, шумарство, рибарство и ветерина;401
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2018;09;Здравство и социјална помоћ;1810
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2018;10;Услуге;1381
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2018;0;Укупно;20691
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2018;00;Генерички програми и квалификације;0
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2018;01;Образовање;1051
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2018;02;Уметности и хуманистичке науке;1074
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2018;03;Друштвене науке, новинарство и информисање;1520
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2018;04;Пословање, администрација и право;5971
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2018;05;Природне науке, математика и статистика;863
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2018;06;Информационе и комуникационе технологије (ИКТ);1593
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2018;07;Инжењерство, производња и грађевинарство;5185
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2018;08;Пољопривреда, шумарство, рибарство и ветерина;355
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2018;09;Здравство и социјална помоћ;496
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2018;10;Услуге;2583
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2018;0;Укупно;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2018;00;Генерички програми и квалификације;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2018;01;Образовање;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2018;02;Уметности и хуманистичке науке;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2018;03;Друштвене науке, новинарство и информисање;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2018;04;Пословање, администрација и право;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2018;05;Природне науке, математика и статистика;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2018;06;Информационе и комуникационе технологије (ИКТ);
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2018;07;Инжењерство, производња и грађевинарство;
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2018;08;Пољопривреда, шумарство, рибарство и ветерина;
