idindikator;IDTer;nTer;mes;god;IDISCEDF;nISCEDF;vrednost
1104020402IND01;RS11;Београдски регион;00;2019;05;Природне науке, математика и статистика;31
1104020402IND01;RS11;Београдски регион;00;2019;06;Информационе и комуникационе технологије (ИКТ);2
1104020402IND01;RS11;Београдски регион;00;2019;07;Инжењерство, производња и грађевинарство;26
1104020402IND01;RS11;Београдски регион;00;2019;08;Пољопривреда, шумарство, рибарство и ветерина;11
1104020402IND01;RS11;Београдски регион;00;2019;09;Здравство и социјална помоћ;72
1104020402IND01;RS11;Београдски регион;00;2019;10;Услуге;9
1104020402IND01;RS12;Регион Војводине;00;2019;0;Укупно;44
1104020402IND01;RS12;Регион Војводине;00;2019;00;Генерички програми и квалификације;0
1104020402IND01;RS12;Регион Војводине;00;2019;01;Образовање;4
1104020402IND01;RS12;Регион Војводине;00;2019;02;Уметности и хуманистичке науке;2
1104020402IND01;RS12;Регион Војводине;00;2019;03;Друштвене науке, новинарство и информисање;1
1104020402IND01;RS12;Регион Војводине;00;2019;04;Пословање, администрација и право;9
1104020402IND01;RS12;Регион Војводине;00;2019;05;Природне науке, математика и статистика;17
1104020402IND01;RS12;Регион Војводине;00;2019;06;Информационе и комуникационе технологије (ИКТ);5
1104020402IND01;RS12;Регион Војводине;00;2019;07;Инжењерство, производња и грађевинарство;6
1104020402IND01;RS12;Регион Војводине;00;2019;08;Пољопривреда, шумарство, рибарство и ветерина;0
1104020402IND01;RS12;Регион Војводине;00;2019;09;Здравство и социјална помоћ;0
1104020402IND01;RS12;Регион Војводине;00;2019;10;Услуге;0
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2019;0;Укупно;301
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2019;00;Генерички програми и квалификације;0
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2019;01;Образовање;3
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2019;02;Уметности и хуманистичке науке;3
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2019;03;Друштвене науке, новинарство и информисање;37
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2019;04;Пословање, администрација и право;101
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2019;05;Природне науке, математика и статистика;18
