idindikator;IDTer;nTer;mes;god;IDPol;nPol;vrednost
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2016;0;Укупно;22090
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2016;1;Мушко;10553
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2016;2;Женско;11537
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2013;0;Укупно;23479
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2013;1;Мушко;11137
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2013;2;Женско;12342
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2014;0;Укупно;23717
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2014;1;Мушко;11387
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2014;2;Женско;12330
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2011;0;Укупно;21619
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2011;1;Мушко;9768
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2011;2;Женско;11851
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2012;0;Укупно;22825
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2012;1;Мушко;10365
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2012;2;Женско;12460
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2009;0;Укупно;19361
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2009;1;Мушко;9005
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2009;2;Женско;10356
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2010;0;Укупно;20876
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2010;1;Мушко;9678
11040101IND01;RS22;Регион Јужне и Источне Србије;00;2010;2;Женско;11198
11040101IND01;RS23;Регион Косовo и Метохијa;00;2007;0;Укупно;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2007;1;Мушко;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2007;2;Женско;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2008;0;Укупно;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2008;1;Мушко;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2008;2;Женско;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2017;0;Укупно;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2017;1;Мушко;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2017;2;Женско;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2015;0;Укупно;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2015;1;Мушко;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2015;2;Женско;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2016;0;Укупно;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2016;1;Мушко;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2016;2;Женско;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2013;0;Укупно;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2013;1;Мушко;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2013;2;Женско;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2014;0;Укупно;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2014;1;Мушко;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2014;2;Женско;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2011;0;Укупно;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2011;1;Мушко;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2011;2;Женско;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2012;0;Укупно;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2012;1;Мушко;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2012;2;Женско;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2009;0;Укупно;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2009;1;Мушко;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2009;2;Женско;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2010;0;Укупно;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2010;1;Мушко;
11040101IND01;RS23;Регион Косовo и Метохијa;00;2010;2;Женско;
